"phenanthrene",                           "C14H10",   "85-01-8",     0.00324,   22, 25, ""
"bis(2-chloroethyl) ether",               "C4H8Cl2O", "111-44-4",    0.003,     13, 20, "dichloroethyl ether"
"epichlorohydrin",                        "C3H5ClO",  "106-89-8",    0.003,     13, 20, "(chloromethyl)oxirane"
"2-methyl-1-propanol",                    "C4H10O",   "78-83-1",     0.00273,   28, 25, "isobutyl alcohol"
"acetophenone",                           "C8H8O",    "98-86-2",     0.00108,   28, 25, "methyl phenyl ketone"
"diphenylmethane",                        "C13H12",   "101-81-5",    0.001,     12, 25, ""
"fluoranthene",                           "C16H10",   "206-44-0",    0.00096,   22, 25, "1,2-(1,8-naphthylene)benzene"
"pyrene",                                 "C16H10",   "129-00-0",    0.00092,   22, 25, "benzo[def]phenanthrene"
"benz[a]anthracene",                      "C18H12",   "56-55-3",     0.00058,   22, 25, "1,2-benzanthracene"
"benzo[ghi]perylene",                     "C22H12",   "191-24-2",    0.000075,  12, 25, "1,12-benzperylene"
"chrysene",                               "C18H12",   "218-01-9",    0.000065,  22, 25, "benzo[a]phenanthrene"
"benzo[e]pyrene",                         "C20H12",   "192-97-2",    0.0000467, 22, 17, "1,2-benzpyrene"
"benzo[a]pyrene",                         "C20H12",   "50-32-8",     0.0000465, 22, 25, "2,3-benzopyrene"
"triphenylene",                           "C18H12",   "217-59-4",    0.00001,   12, 25, "benzo[l]phenanthrene"
"naphthacene",                            "C18H12",   "92-24-0",     0.000004,  12, 25, "2,3-benzanthracene"
"perylene",                               "C20H12",   "198-55-0",    0.000003,  12, 25, "dibenz[de,kl]anthracene"
